JWMNP,HINCP,AGEP,HUPAOC,NATIVITY,SEX,SCHL,PUMA,ST,
15,190000,31,4,1,2,23,03810,36,
0,23100,84,4,1,2,22,03810,36,
5,300000,49,4,2,1,23,03810,36,
0,12000,73,4,1,2,23,03810,36,
0,445000,35,4,2,1,21,03810,36,
0,445000,35,4,1,2,21,03810,36,
0,5000,26,4,2,2,22,03810,36,
30,225460,62,4,1,2,21,03810,36,
30,225460,69,4,1,1,21,03810,36,
0,225460,24,4,1,1,21,03810,36,
5,58000,45,4,1,1,18,03810,36,
0,216000,34,4,1,2,23,03810,36,
0,270000,75,4,1,1,23,03810,36,
0,270000,76,4,1,2,24,03810,36,
0,200,62,4,1,2,22,03810,36,
0,200000,28,4,1,2,21,03810,36,
90,200000,27,4,1,1,22,03810,36,
0,634000,36,4,2,1,21,03810,36,
0,1480,71,4,2,1,21,03810,36,
15,744000,45,2,1,1,22,03810,36,
0,744000,43,2,2,2,22,03810,36,
0,744000,8,2,1,1,5,03810,36,
0,744000,74,2,2,2,21,03810,36,
0,14200,76,4,1,1,19,03810,36,
0,14200,39,4,1,2,16,03810,36,
20,77000,24,4,1,2,21,03810,36,
0,9000,49,4,1,2,19,03810,36,
30,75000,32,4,1,2,21,03810,36,
10,634020,43,2,1,1,18,03810,36,
0,634020,11,2,1,2,8,03810,36,
7,468500,71,4,1,1,24,03810,36,
0,468500,71,4,2,2,24,03810,36,
0,500000,30,4,1,1,21,03810,36,
20,500000,27,4,1,2,21,03810,36,
0,183200,73,4,1,1,21,03810,36,
2,183200,63,4,1,2,21,03810,36,
0,200000,31,4,1,1,21,03810,36,
0,200000,35,4,1,2,22,03810,36,
0,40000,29,4,1,1,22,03810,36,
0,54000,83,4,1,1,22,03810,36,
0,0,19,4,1,2,19,03810,36,
45,143860,37,1,1,2,20,03810,36,
10,143860,34,1,1,1,20,03810,36,
0,143860,1,1,1,2,0,03810,36,
0,360000,35,4,1,1,22,03810,36,
0,360000,32,4,1,1,21,03810,36,
0,360000,32,4,2,2,21,03810,36,
0,130000,46,4,1,2,22,03810,36,
45,130000,37,4,2,2,16,03810,36,
